country_dir,government_type,capital,chief_of_state,head_of_government,judicial_highest_courts
JOR_jordan,parliamentary constitutional monarchy,Amman,King ABDALLAH II (since 7 February 1999),Prime Minister Jafar HASSAN (since 15 September 2024),"Court of Cassation or Supreme Court (consists of 15 members, including the chief justice); Constitutional Court (consists of 9 members)"
JPN_japan,parliamentary constitutional monarchy,Tokyo,Emperor NARUHITO (since 1 May 2019),Prime Minister Sanae TAKAICHI (since 21 October 2025),Supreme Court or Saiko saibansho (consists of the chief justice and 14 associate justices)
KAZ_kazakhstan,presidential republic,Astana,President Kasym-Zhomart TOKAYEV (since 20 March 2019),Prime Minister Olzhas BEKTENOV (since 6 February 2024),Supreme Court of the Republic (consists of 44 members); Constitutional Council (consists of the chairperson and 6 members)
KEN_kenya,presidential republic,Nairobi,President William RUTO (since 13 September 2022),President William RUTO (since 13 September 2022),Supreme Court (consists of chief and deputy chief justices and 5 judges)
KGZ_kyrgyzstan,parliamentary republic,Bishkek,President Sadyr JAPAROV (since 28 January 2021),Chairman of the Cabinet of Ministers Adylbek KASYMALIYEV (since 18 December 2024),"Supreme Court (consists of 25 judges); Constitutional Chamber of the Supreme Court (consists of the chairperson, deputy chairperson, and 9 judges)"
KHM_cambodia,parliamentary constitutional monarchy,Phnom Penh,King Norodom SIHAMONI (since 29 October 2004),Prime Minister HUN MANET (since 22 August 2023),Supreme Council (organized into 5- and 9-judge panels and includes a court chief and deputy chief); Constitutional Court (consists of 9 members)
KIR_kiribati,presidential republic,Tarawa,President Taneti MAAMAU (since 11 March 2016),President Taneti MAAMAU (since 11 March 2016),High Court (consists of a chief justice and other judges as prescribed by the president)
KNA_saint_kitts_and_nevis,federal parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Basseterre,King CHARLES III (since 8 September 2022); represented by Governor General Marcella LIBURD (since 1 February 2023),Prime Minister Dr. Terrance DREW (since 6 August 2022),the Eastern Caribbean Supreme Court (ECSC) is the superior court of the Organization of Eastern Caribbean States; the ECSC is headquartered on St. Lucia and consists of the Court of Appeal -- headed by the chief justice and 4 judges -- and the High Court with 18 judges; the Court of Appeal travels to member states on a schedule to hear appeals from the High Court and subordinate courts; member of the Caribbean Court of Justice
KOR_south_korea,presidential republic,Seoul,President LEE Jae-myung (since 4 June 2025),Prime Minister KIM Min-seok (since 3 July 2025),Supreme Court (consists of a chief justice and 13 justices); Constitutional Court (consists of a court head and 8 justices)
KWT_kuwait,constitutional monarchy (emirate),Kuwait City,Amir MISHAL al-Ahmad al-Jabir al-Sabah (since 16 December 2023),Prime Minister AHMAD ABDULLAH Al-Ahmad al Sabah (since 15 May 2024),"Constitutional Court (consists of 5 judges); Supreme Court or Court of Cassation (organized into several circuits, each with 5 judges)"
LAO_laos,communist party-led state,Vientiane (Viangchan),President THONGLOUN Sisoulith (since 22 March 2021),Prime Minister SONEXAY (also spelled SONXAI) Siphandon (since 30 December 2022),"People's Supreme Court (consists of the court president and organized into criminal, civil, administrative, commercial, family, and juvenile chambers, each with a vice president and several judges)"
LBN_lebanon,parliamentary democratic republic,Beirut,President Joseph AOUN (since 9 January 2025),Prime Minister Nawaf SALAM (since 8 February 2025),"Court of Cassation or Supreme Court (organized into 8 chambers, each with a presiding judge and 2 associate judges); Constitutional Council (consists of 10 members)"
LBR_liberia,presidential republic,Monrovia,President Joseph BOAKAI (since 22 January 2024),President Joseph BOAKAI (since 22 January 2024),Supreme Court (consists of a chief justice and 4 associate justices)
LBY_libya,in transition,Tripoli (Tarabulus),"President, Presidential Council, Mohammed al-MANFI (since 5 February 2021)",GNU Interim Prime Minister Abd-al-Hamid DUBAYBAH (since 5 February 2021),"Libya's judicial system consists of a supreme court, central high courts (in Tripoli, Benghazi, and Sabha), and a series of lower courts"
LCA_saint_lucia,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Castries,King CHARLES III (since 8 September 2022); represented by Acting Governor General Cyril Errol CHARLES (since 11 November 2021),Prime Minister Philip J. PIERRE (since 28 July 2021),the Eastern Caribbean Supreme Court (ECSC) is the superior court of the Organization of Eastern Caribbean States; the ECSC is headquartered on St. Lucia and consists of the Court of Appeal -- headed by the chief justice and 4 judges -- and the High Court with 18 judges; the Court of Appeal travels to member states on a schedule to hear appeals from the High Court and subordinate courts; member of the Caribbean Court of Justice
LIE_liechtenstein,constitutional monarchy,Vaduz,"Prince HANS-ADAM II (since 13 November 1989, assumed executive powers on 26 August 1984)",Prime Minister Brigitte HAAS (since 10 April 2025),"Supreme Court or Supreme Court or Fürstlicher Oberster Gerichtshof (consists of 5 judges and 5 substitutes); Constitutional Court or Staatsgerichtshof (consists of 5 judges, and 5 alternates)"
LKA_sri_lanka,presidential republic,Colombo (commercial capital); Sri Jayewardenepura Kotte (legislative capital),President Anura Kumara DISSANAYAKE (since 23 September 2024),President Anura Kumara DISSANAYAKE (since 23 September 2024),Supreme Court of the Republic (consists of the chief justice and 9 justices); has exclusive jurisdiction to review legislation
LSO_lesotho,parliamentary constitutional monarchy,Maseru,King LETSIE III (since 7 February 1996),Prime Minister Ntsokoane Samuel MATEKANE (28 October 2022),"Court of Appeal (consists of the court president, such number of justices of appeal as set by Parliament, and the Chief Justice and the puisne judges of the High Court ex officio); High Court (consists of the chief justice and such number of puisne judges as set by Parliament)"
LTU_lithuania,semi-presidential republic,Vilnius,President Gitanas NAUSEDA (since 12 July 2019),Prime Minister Inga RUGINIENE (since 25 September 2025),Supreme Court (consists of 37 judges); Constitutional Court (consists of 9 judges)
LUX_luxembourg,constitutional monarchy,Luxembourg,Grand Duke GUILLAUME (since 3 October 2025),Prime Minister Luc FRIEDEN (since 17 November 2023),Supreme Court of Justice includes Court of Appeal and Court of Cassation (consists of 27 judges on 9 benches); Constitutional Court (consists of 9 members)
LVA_latvia,parliamentary republic,Riga,President Edgars RINKEVICS (since 8 July 2023),Prime Minister Evika SILINA (since 15 September 2023),Supreme Court (consists of the Senate with 36 judges); Constitutional Court (consists of 7 judges)
MAR_morocco,parliamentary constitutional monarchy,Rabat,King MOHAMMED VI (since 30 July 1999),Prime Minister Aziz AKHANNOUCH (since 7 October 2021),"Supreme Court or Court of Cassation (consists of 5-judge panels organized into civil, family matters, commercial, administrative, social, and criminal sections); Constitutional Court (consists of 12 members)"
MCO_monaco,constitutional monarchy,Monaco,Prince ALBERT II (since 6 April 2005),Minister of State Christophe MIRMAND (since 21 July 2025),Supreme Court (consists of 5 permanent members and 2 substitutes)
MDA_moldova,parliamentary republic,Chisinau in Romanian (Kishinev in Russian),President Maia SANDU (since 24 December 2020),Prime Minister Alexandru MUNTEANU (since 1 November 2025),"Supreme Court of Justice (consists of the chief judge, 3 deputy-chief judges, 45 judges, and 7 assistant judges); Constitutional Court (consists of the court president and 6 judges)"
MDG_madagascar,semi-presidential republic,Antananarivo,Michael RANDRIANIRINA (Col.),Prime Minister Herintsalama RAJAONARIVELO (since 22 October 2025),"Supreme Court or Cour Suprême (consists of 11 members; addresses judicial administration issues only); High Constitutional Court or Haute Cour Constitutionnelle (consists of 9 members); High Court of Justice (consists of 11 members; addresses cases brought against the president of Madagascar and senior officials for high treason, grave violations of the Constitution, or breach of duties incompatible with the exercise of the presidential mandate)"
MDV_maldives,presidential republic,Malé,President Mohamed MUIZZU (since 17 November 2023),President Mohamed MUIZZU (since 17 November 2023),Supreme Court (consists of the chief justice and 6 justices)
MEX_mexico,federal presidential republic,Mexico City (Ciudad de Mexico),President Claudia SHEINBAUM Pardo (since 1 October 2024),President Claudia SHEINBAUM Pardo (since 1 October 2024),"Supreme Court of Justice or Suprema Corte de Justicia de la Nación (consists of the chief justice and 11 justices and organized into civil, criminal, administrative, and labor panels) and the Electoral Tribunal of the Federal Judiciary (organized into the superior court, with 7 judges including the court president, and 5 regional courts, each with 3 judges)"
MHL_marshall_islands,mixed presidential-parliamentary system in free association with the US,Majuro,President Hilda C. HEINE (since 3 January 2023),President Hilda C. HEINE (since 3 January 2023),Supreme Court (consists of the chief justice and 2 associate justices)
MKD_north_macedonia,parliamentary republic,Skopje,President Gordana SILJANOVSKA-DAVKOVA (since 12 May 2024),Prime Minister Hristijan MICKOSKI (since 23 June 2024),Supreme Court (consists of 22 judges); Constitutional Court (consists of 9 judges)
MLI_mali,semi-presidential republic,Bamako,Transition President Assimi GOITA (since 7 June 2021),Transition Prime Minister Abdoulaye MAIGA (since 22 November 2024),"Supreme Court or Cour Suprême (consists of 19 judges organized into judicial, administrative, and accounting sections); Constitutional Court (consists of 9 judges)"
MLT_malta,parliamentary republic,Valletta,President Myriam Spiteri DEBONO (since 4 April 2024),Prime Minister Robert ABELA (since 13 January 2020),Court of Appeal (consists of either 1 or 3 judges); Constitutional Court (consists of 3 judges); Court of Criminal Appeal (consists of either 1 or 3 judges)
MMR_myanmar,military regime,"Rangoon (aka Yangon, continues to be recognized as the primary Burmese capital by the US Government); Nay Pyi Taw is the administrative capital",Acting President Sr. Gen. MIN AUNG HLAING (since 31 July 2025),Prime Minister NYO SAW (since 31 July 2025),Supreme Court of the Union (consists of the chief justice and 7-11 judges)
MNE_montenegro,parliamentary republic,Podgorica,President Jakov MILATOVIC (since 20 May 2023),Prime Minister Milojko SPAJIC (since 31 October 2023),"Supreme Court or Vrhovni Sud (consists of the court president, deputy president, and 15 judges); Constitutional Court or Ustavni Sud (consists of the court president and 7 judges)"
MNG_mongolia,semi-presidential republic,Ulaanbaatar,President Ukhnaagiin KHURELSUKH (since 25 June 2021),Prime Minister Gombojavyn ZANDANSHATAR (since 13 June 2025),"Supreme Court (consists of the Chief Justice and 24 judges organized into civil, criminal, and administrative chambers); Constitutional Court or Tsets (consists of the chairman and 8 members)"
MOZ_mozambique,presidential republic,Maputo,President Daniel Francisco CHAPO (since 15 January 2025),Prime Minister Maria Benvinda Delfina LEVI (since 17 January 2025),"Supreme Court (consists of the court president, vice president, and 5 judges); Constitutional Council (consists of 7 judges)"
MRT_mauritania,presidential republic,Nouakchott,President Mohamed Ould Cheikh el GHAZOUANI (since 1 August 2019),Prime Minister Moctar Ould DIAY (since 2 August 2024),"Supreme Court or Cour Suprême (subdivided into 7 chambers: 2 civil, 2 labor, 1 commercial, 1 administrative, and 1 criminal, each with a chamber president and 2 councilors); Constitutional Council (consists of 9 members); High Court of Justice (consists of 9 members)"
MUS_mauritius,parliamentary republic,Port Louis,President Dharam GOKHOOL (since 7 December 2024),Prime Minister Navin RAMGOOLAM (since 13 November 2024),"Supreme Court of Mauritius (consists of the chief justice, a senior puisne judge, and 24 puisne judges)"
MWI_malawi,presidential republic,Lilongwe,President Peter MUTHARIKA (since 4 October 2025),President Peter MUTHARIKA (since 4 October 2025),Supreme Court of Appeal (consists of the chief justice and at least 3 judges)
MYS_malaysia,federal parliamentary constitutional monarchy,Kuala Lumpur,King Sultan IBRAHIM ibni al-Marhum Sultan Iskandar (since 31 January 2024),Prime Minister ANWAR Ibrahim (since 24 November 2022),"Federal Court (consists of the chief justice, president of the Court of Appeal, chief justice of the High Court of Malaya, chief judge of the High Court of Sabah and Sarawak, 8 judges, and 1 ""additional"" judge)"
NAM_namibia,presidential republic,Windhoek,President Netumbo NANDI-NDAITWAH (since 21 March 2025),President Netumbo NANDI-NDAITWAH (since 21 March 2025),Supreme Court (consists of the chief justice and at least 3 judges in quorum sessions)
NER_niger,"formerly, semi-presidential republic",Niamey,President of the National Council for the Safeguard of the Homeland (CNSP) General Abdourahame TIANI (since 28 July 2023),CNSP Prime Minister Ali Mahaman Lamine ZEINE (since 9 August 2023),High Court of Justice (consists of 7 members); Supreme Court (membership NA); Constitutional Court (consists of 7 judges)
NGA_nigeria,federal presidential republic,Abuja,President Bola Ahmed Adekunle TINUBU (since 29 May 2023),President Bola Ahmed Adekunle TINUBU (since 29 May 2023),Supreme Court (consists of the chief justice and 15 justices)
NIC_nicaragua,presidential republic,Managua,President Jose Daniel ORTEGA Saavedra (since 10 January 2007),President Jose Daniel ORTEGA Saavedra (since 10 January 2007),"Supreme Court or Corte Suprema de Justicia (consists of 16 judges organized into administrative, civil, criminal, and constitutional chambers)"
NLD_netherlands,parliamentary constitutional monarchy; part of the Kingdom of the Netherlands,Amsterdam,King WILLEM-ALEXANDER (since 30 April 2013),Caretaker Prime Minister Dick SCHOOF (since 3 June 2025),"Supreme Court or Hoge Raad (consists of 41 judges: the president, 6 vice presidents, 31 justices, and 3 justices in exceptional service); the court is divided into criminal, civil, tax, and ombuds chambers"
NOR_norway,parliamentary constitutional monarchy,Oslo,King HARALD V (since 17 January 1991),Prime Minister Jonas Gahr STORE (since 14 October 2021),Supreme Court or Hoyesterett (consists of the chief justice and 18 associate justices)
NPL_nepal,federal parliamentary republic,Kathmandu,President Ram Chandra POUDEL (since 13 March 2023),Prime Minister Sushila KARKI (since 12 September 2025),Supreme Court (consists of the chief justice and up to 20 judges)
NRU_nauru,parliamentary republic,no official capital; government offices in the Yaren District,President David ADEANG (since 30 October 2023),President David ADEANG (since 30 October 2023),Supreme Court (consists of the chief justice and several justices)
NZL_new_zealand,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Wellington,King CHARLES III (since 8 September 2022); represented by Governor-General Dame Cindy KIRO (since 21 October 2021),Prime Minister Christopher LUXON (since 27 November 2023),"Supreme Court (consists of 5 justices, including the chief justice)"
OMN_oman,absolute monarchy,Muscat,Sultan and Prime Minister HAITHAM bin Tarik Al Said (since 11 January 2020),Sultan and Prime Minister HAITHAM bin Tarik Al Said (since 11 January 2020),Supreme Court (consists of 5 judges)
PAK_pakistan,federal parliamentary republic,Islamabad,President Asif Ali ZARDARI (since 10 March 2024),Prime Minister Muhammad Shehbaz SHARIF (since 3 March 2024),Supreme Court of Pakistan (consists of the chief justice and 16 judges)
PAN_panama,presidential republic,Panama City,President José Raúl MULINO Quintero (since 1 July 2024),President José Raúl MULINO Quintero (since 1 July 2024),"Supreme Court of Justice or Corte Suprema de Justicia (consists of 9 magistrates and 9 alternates and divided into civil, criminal, administrative, and general business chambers)"
PER_peru,presidential republic,Lima,President José Enrique JERÍ Oré (since 10 October 2025),President José Enrique JERÍ Oré (since 10 October 2025),"Supreme Court (consists of 16 judges and divided into civil, criminal, and constitutional-social sectors)"
PHL_philippines,presidential republic,Manila,"President Ferdinand ""BongBong"" MARCOS, Jr. (since 30 June 2022)","President Ferdinand ""BongBong"" MARCOS, Jr. (since 30 June 2022)",Supreme Court (consists of a chief justice and 14 associate justices)
PLW_palau,presidential republic in free association with the US,Ngerulmud,"President Surangel WHIPPS, Jr. (since 21 January 2021)","President Surangel WHIPPS, Jr. (since 21 January 2021)",Supreme Court (consists of the chief justice and 3 associate justices organized into appellate trial divisions; the Supreme Court organization also includes the Common Pleas and Land Courts)
PNG_papua_new_guinea,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Port Moresby,King CHARLES III (since 8 September 2022); represented by Governor General Grand Chief Sir Bob DADAE (since 28 February 2017),Prime Minister James MARAPE (since 30 May 2019),"Supreme Court (consists of the chief justice, deputy chief justice, 35 justices, and 5 acting justices); National Courts (consists of 13 courts located in the provincial capitals, with a total of 19 resident judges)"
POL_poland,parliamentary republic,Warsaw,President Karol NAWROCKI (since 6 August 2025),Prime Minister Donald TUSK (since 11 December 2023),"Supreme Court or Sad Najwyzszy (consists of the first president of the Supreme Court and 120 justices organized in criminal, civil, labor and social insurance, and extraordinary appeals and public affairs and disciplinary chambers); Constitutional Tribunal (consists of 15 judges, including the court president and vice president)"
PRK_north_korea,"dictatorship, single-party communist state",Pyongyang,State Affairs Commission President KIM Jong Un (since 17 December 2011),Supreme People's Assembly President CHOE Ryong Hae (since 11 April 2019),"Supreme Court or Central Court (consists of one judge and 2 ""People's Assessors"" or, for some cases, 3 judges)"
PRT_portugal,semi-presidential republic,Lisbon,President Marcelo REBELO DE SOUSA (since 9 March 2016),Prime Minister Antonio Luis MONTENEGRO (since 2 April 2024),Supreme Court or Supremo Tribunal de Justica (consists of 12 justices); Constitutional Court or Tribunal Constitucional (consists of 13 judges)
PRY_paraguay,presidential republic,Asunción,President Santiago PEÑA Palacios (since 15 August 2023),President Santiago PEÑA Palacios (since 15 August 2023),"Supreme Court of Justice or Corte Suprema de Justicia (consists of 9 justices divided 3 each into the Constitutional Court, Civil and Commercial Chamber, and Criminal Division)"
PSE_palestine,,,,,
QAT_qatar,absolute monarchy,Doha,Amir TAMIM bin Hamad Al Thani (since 25 June 2013),Prime Minister and Foreign Minister MUHAMMAD bin Abd al-Rahman Al Thani (since 7 March 2023),Supreme Court or Court of Cassation (consists of the court president and several judges); Supreme Constitutional Court (consists of the chief justice and 6 members)
ROU_romania,semi-presidential republic,Bucharest,President Nicușor DAN (since 26 May 2025),Prime Minister Ilie BOLOJAN (since 23 June 2005),"High Court of Cassation and Justice (consists of 111 judges organized into civil, penal, commercial, contentious administrative and fiscal business, and joint sections); Supreme Constitutional Court (consists of 9 members)"
RUS_russia,semi-presidential federation,Moscow,President Vladimir Vladimirovich PUTIN (since 7 May 2012),Premier Mikhail Vladimirovich MISHUSTIN (since 16 January 2020),"Supreme Court of the Russian Federation (consists of 170 members organized into the Judicial Panel for Civil Affairs, the Judicial Panel for Criminal Affairs, and the Military Panel); Constitutional Court (consists of 11 members, including the chairperson and deputy)"
RWA_rwanda,presidential republic,Kigali,President Paul KAGAME (since 22 April 2000),Prime Minister Justin NSENGIYUMVA (since 23 July 2025),"Supreme Court (consists of the chief and deputy chief justices and 5 judges; normally organized into 3-judge panels); High Court (consists of the court president, vice president, and a minimum of 24 judges and organized into 5 chambers)"
SAU_saudi_arabia,absolute monarchy,Riyadh,King SALMAN bin Abd al-Aziz Al Saud (since 23 January 2015),Crown Prince and Prime Minister MUHAMMAD BIN SALMAN bin Abd al-Aziz Al Saud (since 27 September 2022),"High Court (consists of the court chief; organized into circuits with 3-judge panels, except for the criminal circuit, which has a 5-judge panel for cases involving major punishments)"
SDN_sudan,presidential republic,Khartoum,Sovereign Council Chair and Commander-in-Chief of the Sudanese Armed Forces General Abd-al-Fattah al-BURHAN Abd-al-Rahman (since 11 November 2021),Sovereign Council Chair and Commander-in-Chief of the Sudanese Armed Forces General Abd-al-Fattah al-BURHAN Abd-al-Rahman (since 11 November 2021),"National Supreme Court (consists of 70 judges organized into panels of 3 judges and includes 4 circuits that operate outside the capital); a Constitutional Court was required in the 2019 Constitutional Declaration, but it has yet to be implemented"
SEN_senegal,presidential republic,Dakar,President Bassirou Diomaye FAYE (since 2 April 2024),Prime Minister Ousmane SONKO (since 2 April 2024),"Supreme Court or Cour Suprême (consists of the court president and 12 judges and organized into civil and commercial, criminal, administrative, and social chambers); Constitutional Council or Conseil Constitutionnel (consists of 7 members, including the court president, vice president, and 5 judges)"
SGP_singapore,parliamentary republic,Singapore,President THARMAN Shanmugaratnam (since 14 September 2023),Prime Minister Lawrence WONG (since 15 May 2024),"Supreme Court (number of judges varies but includes judicial commissioners, judges of appeal, and international judges); the court is organized into an upper-tier Appeal Court and a lower-tier High Court"
SLB_solomon_islands,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Honiara,King CHARLES III (since 8 September 2022); represented by Governor General David Tiva KAPU (since 7 July 2024),Prime Minister Jeremiah MANELE (since 2 May 2024),Court of Appeal (consists of the court president and ex officio members including the High Court chief justice and puisne judges); High Court (consists of the chief justice and puisne judges)
SLE_sierra_leone,presidential republic,Freetown,President Julius Maada BIO (since 27 June 2023),President Julius Maada BIO (since 27 June 2023),"Superior Court of Judicature (consists of the Supreme Court at the top, with the chief justice and 4 other judges, the Court of Appeal with the chief justice and 7 other judges, and the High Court of Justice with the chief justice and 9 other judges)"
SLV_el_salvador,presidential republic,San Salvador,President Nayib Armando BUKELE Ortez (since 1 June 2019),President Nayib Armando BUKELE Ortez (since 1 June 2019),"Supreme Court or Corte Suprema de Justicia (consists of 15 judges, including its president, and 15 substitute judges organized into Constitutional, Civil, Penal, and Administrative Conflict Chambers)"
SMR_san_marino,parliamentary republic,San Marino (city),co-chiefs of state Captains Regent Matteo ROSSI and Lorenzo BUGLI (for the period 1 October 2025 - 31 March 2026),Secretary of State for Foreign and Political Affairs Luca BECCARI (since 8 January 2020),Council of Twelve or Consiglio dei XII (consists of 12 members)
SOM_somalia,federal parliamentary republic,Mogadishu,President HASSAN SHEIKH Mohamud (since 23 May 2022),Prime Minister Hamza Abdi BARRE (since 25 June 2022),"the provisional constitution stipulates the establishment of the Constitutional Court (consists of 5 judges, including the chief judge and deputy chief judge)"
SRB_serbia,parliamentary republic,Belgrade (Beograd),President Aleksandar VUCIC (since 31 May 2017),Prime Minister Djuro MACUT (since 16 April 2025),"Supreme Court of Cassation (consists of 36 judges, including the court president); Constitutional Court (consists of 15 judges, including the court president and vice president)"
SSD_south_sudan,presidential republic,Juba,President Salva KIIR Mayardit (since 9 July 2011),President Salva KIIR Mayardit (since 9 July 2011),"Supreme Court of South Sudan (consists of a chief justice, deputy chief justice, and 5 additional justices); the 2011 Transitional Constitution of South Sudan calls for 9, rather than 5 additional justices"
STP_sao_tome_and_principe,semi-presidential republic,Sao Tome,President Carlos Manuel VILA NOVA (since 2 October 2021),Prime Minister Américo d'Oliveira DOS RAMOS (since 12 January 2025),"Supreme Court or Supremo Tribunal Justica (consists of 5 judges); Constitutional Court or Tribunal Constitucional (consists of 5 judges, 3 of whom are from the Supreme Court)"
SUR_suriname,presidential republic,Paramaribo,President Jennifer GEERLINGS-SIMONS (since 16 July 2025),President Jennifer GEERLINGS-SIMONS (since 16 July 2025),"High Court of Justice of Suriname (consists of the court president, vice president, and 4 judges)"
SVK_slovakia,parliamentary republic,Bratislava,President Peter PELLEGRINI (since 15 June 2024),Prime Minister Robert FICO (since 25 October 2023),"Supreme Court of the Slovak Republic (consists of the court president, vice president, and approximately 80 judges organized into criminal, civil, commercial, and administrative divisions with 3- and 5-judge panels); Constitutional Court of the Slovak Republic (consists of 13 judges organized into 3-judge panels)"
SVN_slovenia,parliamentary republic,Ljubljana,President Natasa PIRC MUSAR (since 23 December 2022),Prime Minister Robert GOLOB (since 1 June 2022),"Supreme Court (consists of the court president and 37 judges organized into civil, criminal, commercial, labor and social security, administrative, and registry departments); Constitutional Court (consists of the court president, vice president, and 7 judges)"
SWE_sweden,parliamentary constitutional monarchy,Stockholm,King CARL XVI GUSTAF (since 15 September 1973),Prime Minister Ulf KRISTERSSON (since 18 October 2022),"Supreme Court of Sweden (consists of 16 justices, including the court chairman); Supreme Administrative Court (consists of 18 justices, including the court president)"
SWZ_eswatini,absolute monarchy,Mbabane (administrative capital); Lobamba (royal and legislative capital),King MSWATI III (since 25 April 1986),Prime Minister Russell DLAMINI (since 6 November 2023),Supreme Court (consists of the chief justice and at least 4 justices) and the High Court (consists of the chief justice ex officio and 4 justices)
SYC_seychelles,presidential republic,Victoria,President Patrick HERMINIE (since 26 October 2025),President Patrick HERMINIE (since 26 October 2025),Seychelles Court of Appeal (consists of the court president and 4 justices); Supreme Court of Seychelles (consists of the chief justice and 9 puisne judges); Constitutional Court (consists of 3 Supreme Court judges)
SYR_syria,transitional presidential republic,Damascus,Ahmad al-Shara'; former President Bashar al-ASAD was overthrown by Islamist rebels on 8 December 2024,Prime Minister Muhammad al-BASHIR (since 8 December 2024),"Court of Cassation (organized into civil, criminal, religious, and military divisions, each with 3 judges); Supreme Constitutional Court (consists of 7 members)"
TCD_chad,presidential republic,N'Djamena,President Mahamat Idriss DÉBY (since 6 May 2024),Prime Minister Allamaye HALINA (since 23 May 2024),"Supreme Court (consists of the chief justice, 3 chamber presidents, and 12 judges or councilors and divided into 3 chambers); Supreme Council of the Judiciary (consists of the Judiciary president, vice president and 13 members)"
TGO_togo,presidential republic,Lome,President Jean-Lucien Kwassi Savi de TOVE (since 3 May 2025),President of Council of Ministers Faure GNASSINGBE (since 3 May 2025),"Supreme Court or Cour Suprême (organized into criminal and administrative chambers, each with a chamber president and advisors); Constitutional Court (consists of 9 judges, including the court president)"
THA_thailand,constitutional monarchy,Bangkok,King WACHIRALONGKON; also spelled Vajiralongkorn (since 1 December 2016),Prime Minister ANUTIN Charnvirakul (since 5 Sep 2025),"Supreme Court of Justice (consists of the court president, 6 vice presidents, 60-70 judges, and organized into 10 divisions); Constitutional Court (consists of the court president and 8 judges); Supreme Administrative Court (number of judges determined by Judicial Commission of the Administrative Courts)"
TJK_tajikistan,presidential republic,Dushanbe,President Emomali RAHMON (since 16 November 1994; head of state and Supreme Assembly Chairman since 20 November 1992),Prime Minister Qohir RASULZODA (since 23 November 2013),"Supreme Court (consists of the chairman, deputy chairmen, and 34 judges organized into civil, family, criminal, administrative offense, and military chambers); Constitutional Court (consists of the court chairman, deputy chairman, and 5 judges); High Economic Court (consists of 16 judicial positions)"
TKM_turkmenistan,presidential republic; authoritarian,Ashgabat (Ashkhabad),President Serdar BERDIMUHAMEDOV (since 19 March 2022),President Serdar BERDIMUHAMEDOV (since 19 March 2022),"Supreme Court of Turkmenistan (consists of the court president and 21 associate judges and organized into civil, criminal, and military chambers)"
TLS_timor_leste,semi-presidential republic,Dili,President José RAMOS-HORTA (since 20 May 2022),Prime Minister Kay Rala Xanana GUSMAO (since 1 July 2023),Court of Appeals (consists of the court president and NA judges)
TON_tonga,constitutional monarchy,Nuku'alofa,King TUPOU VI (since 18 March 2012),Prime Minister Fatafehi FAKAFANUA (since 18 December 2025),Court of Appeal (consists of the court president and a number of judges determined by the monarch)
TTO_trinidad_and_tobago,parliamentary republic,Port of Spain,President Christine KANGALOO (since 20 March 2023),Prime Minister Kamla Susheila PERSAD-BISSESSAR (since 1 May 2025),Supreme Court of the Judicature (consists of a chief justice for both the Court of Appeal with 12 judges and the High Court with 24 judges)
TUN_tunisia,parliamentary republic,Tunis,President Kais SAIED (since 23 October 2019),Prime Minister Sarra ZAAFRANI Zenzri (since 21 March 2025),"Court of Cassation (consists of the first president, chamber presidents, and magistrates; organized into 27 civil and 11 criminal chambers)"
TUR_turkey,presidential republic,Ankara,President Recep Tayyip ERDOGAN (since 28 August 2014),President Recep Tayyip ERDOGAN (since 9 July 2018),"Constitutional Court or Anayasa Mahkemesi (consists of the president, 2 vice presidents, and 12 judges); Court of Cassation (consists of about 390 judges and is organized into civil and penal chambers); Council of State (organized into 15 divisions -- 14 judicial and 1 consultative -- each with a division head and at least 5 members)"
TUV_tuvalu,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Funafuti,King CHARLES III (since 8 September 2022); represented by Governor General Tofiga Vaevalu FALANI (since 29 August 2021),Prime Minister Feleti Penitala TEO (since 27 February 2024),Court of Appeal (consists of the chief justice and not less than 3 appeals judges); High Court (consists of the chief justice); appeals beyond the Court of Appeal are heard by the Judicial Committee of the Privy Council (in London)
TWN_taiwan,semi-presidential republic,Taipei,President LAI Ching-te (since 20 May 2024),Premier CHO Jung-tai (President of the Executive Yuan) (since 20 May 2024),"Supreme Court (consists of the court president, vice president, and approximately 100 judges organized into civil and criminal panels, each with a chief justice and 4 associate justices); Constitutional Court (consists of the court president, vice president, and 13 justices)"
TZA_tanzania,presidential republic,Dodoma,President Samia Suluhu HASSAN (since 19 March 2021),President Samia Suluhu HASSAN (since 19 March 2021),"Court of Appeal of the United Republic of Tanzania (consists of the chief justice and 14 justices); High Court of the United Republic for Mainland Tanzania (consists of the principal judge and 30 judges organized into commercial, land, and labor courts); High Court of Zanzibar (consists of the chief justice and 10 justices)"
UGA_uganda,presidential republic,Kampala,President Yoweri Kaguta MUSEVENI (since 26 January 1986),Prime Minister Robinah NABBANJA (since 14 June 2021),Supreme Court of Uganda (consists of the chief justice and at least 6 justices)
